author_name,book_count
Agatha Christie,0
Aldous Huxley,0
Arthur Conan Doyle,0
C.S. Lewis,0
Chinua Achebe,0
Edgar Allan Poe,0
Emily Dickinson,0
Gabriel Garcia Marquez,0
H.G. Wells,0
Herman Melville,0
Isabel Allende,0
James Joyce,0
Jhumpa Lahiri,0
John Steinbeck,0
Khaled Hosseini,0
Leo Tolstoy,0
Margaret Atwood,0
Salman Rushdie,0
T.S. Eliot,0
Virginia Woolf,0
Walt Whitman,0
Charles Dickens,2
Ernest Hemingway,2
F. Scott Fitzgerald,2
George Orwell,2
Harper Lee,2
J.K. Rowling,2
J.R.R. Tolkien,2
Jane Austen,2
Mark Twain,2
